Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	4234.0	5957.5	7179.5	8448.5	10313.0	3294.0	3814.0	4334.0	4584.0	4834.0	4932.0	6180.0	7428.0	8644.0	9860.0	393.0	393.0	393.0	393.0	393.0	9.0	9.0	9.0	9.0	9.0	1.0	28.5	56.0	229.5	403.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;MB19;	1.0	1.0	1.0	87.5	347.0	1.0	1.0	1.0	3.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	649.0	649.0	649.0	649.0	649.0	243.0	243.0	243.0	243.0	243.0	199.0	269.0	339.0	442.5	546.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus	1.0	10.0	20.0	65.5	181.0	22.0	25.0	28.0	150.0	272.0	16.0	50.0	84.0	301.5	519.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;	1.0	1.0	1.0	1.0	1.0	42.0	53.0	64.0	73.0	82.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	97.0	193.0
Bacteria;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	938.0	938.0	938.0	938.0	938.0	10.0	10.0	10.0	10.0	10.0	59.0	142.0	225.0	239.5	254.0
Bacteria;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2224.0	2224.0	2224.0	2224.0	2224.0	1441.0	1441.0	1441.0	1441.0	1441.0	411.0	922.0	1433.0	1944.5	2456.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	252.0	252.0	252.0	252.0	252.0	234.0	234.0	234.0	234.0	234.0	69.0	127.5	186.0	300.5	415.0
Bacteria;Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae;Anaerofustis	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	68.0	68.0	68.0	68.0	68.0	172.0	172.0	172.0	172.0	172.0	1.0	14.0	27.0	29.0	31.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	10773.0	11377.5	17188.0	29260.5	48651.0	16822.0	21278.0	25734.0	31464.5	37195.0	32125.0	40053.5	47982.0	70523.5	93065.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1926.0	1926.0	1926.0	1926.0	1926.0	1.0	1.0	1.0	1.0	1.0	767.0	771.0	775.0	1489.5	2204.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Azovibrio	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	84.0	84.0	84.0	84.0	84.0	306.0	306.0	306.0	306.0	306.0	70.0	122.5	175.0	366.0	557.0
Bacteria;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	113.0	113.0	113.0	113.0	113.0	27.0	27.0	27.0	27.0	27.0	18.0	25.0	32.0	71.0	110.0
