# Constructed from biom file
#OTU ID	Adobera_pasteurizada	Adobera_artesanal	Zacatecas	Chihuahua	Cincho	Oaxaca	Canasto	Asadero	Manchego	Adobera_mesa	Cotija	Panela_pasteurizado	Panela_artesanal	Jocoque	Chiapas	Ranchero_Estado_de_Mexico	Ranchero_Veracruz
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae	0.0	0.0	0.0	0.0	0.00030363757818667637	0.0	0.0	0.0	0.0	0.0	0.0007268921001366557	0.0	0.0	0.0	0.0	0.00013287859325862605	0.0
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	0.0	0.0	0.0005731238621805678	0.00019949220166848024	0.0	0.0015309707860656561	0.0	0.0011252045826513912	0.0	0.0013861436968965783	0.0005233623120983921	0.0	0.0004517505333166018	0.0	0.00030157515020762287	0.0003100500509367941	0.0010920357578220235
Bacteria;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	0.0	0.0	0.044535095408266466	0.001958650707290533	0.0	0.00022588093564903123	0.0	0.0	0.0009749303621169916	0.0004620478989655261	0.0	0.0	0.0	0.0	0.0	0.0	0.000304754164973588
Bacteria;Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020458265139116204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	0.021526418786692758	0.00284791061942056	0.0026633403007214618	0.001958650707290533	0.0030667395396854315	0.004467422949503062	0.028943175783324483	0.004193944353518822	0.0018105849582172701	0.010755448314808635	0.0047684121768964615	0.002666393190442006	0.004693186096122475	0.002833204551308274	0.0031085438559862667	0.003056207644948399	0.01201239333604226
Bacteria;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	0.0	0.0	0.0003708448519991909	0.0	0.0	0.000301174580865375	0.0	0.0	0.0	0.0	0.0018317680923443725	0.0	0.0	0.0	0.0	0.0006201001018735882	0.0
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;MB19	0.0	0.0032312832028040966	0.0	0.0	0.0027327382036800873	0.002409396646923	0.0	0.0	0.0006499535747446611	0.00428677772929127	0.06222196377169773	0.0	0.12420629941021458	0.002787752071875521	0.0	0.019045931700403064	0.019428078017066232
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	0.001304631441617743	0.007503149131934936	0.010282516350886657	0.0010155966630395357	0.02004008016032064	0.00986346752334103	0.002124269782262347	0.04030278232405892	0.003574744661095636	0.024360192006571347	0.008257494257552409	0.01722900215362527	0.033078177939515625	0.003999818190082269	0.0007655369197578119	0.020795499844974974	0.0035046728971962616
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae	0.0	0.0	0.0006742633672712562	0.0	0.0	0.0	0.08258098778544876	0.004296235679214402	0.003481894150417827	0.0010011037810919732	0.0	0.0	0.0	0.0005454297531930366	0.0	0.0	0.0
Bacteria;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae	0.0	0.0	0.00010113950509068843	0.0	0.0	0.000301174580865375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024361075430748107	0.0
